Gen	UniProt	Guess	Alg
ENSG00000060971	P09110	tp	FRENKI
ENSG00000069998	Q9BXW7	tp	FRENKI
ENSG00000070081	P80303	tp	FRENKI
ENSG00000074755	O43149	tp	FRENKI
ENSG00000077713	Q8WUT9	tp	FRENKI
ENSG00000093144	Q9NTX5	tp	FRENKI
ENSG00000100345	P35579	tp	FRENKI
ENSG00000100364	Q6ICG6	tp	FRENKI
ENSG00000100991	Q8TEL6	tp	FRENKI
ENSG00000101473	O14734	tp	FRENKI
ENSG00000102048	Q96DX5	tp	FRENKI
ENSG00000102401	Q9UH62	tp	FRENKI
ENSG00000102794	A6NK06	tp	FRENKI
ENSG00000102897	O43325	tp	FRENKI
ENSG00000103254	Q9BQD7	tp	FRENKI
ENSG00000104823	Q13011	tp	FRENKI
ENSG00000105135	A1L0T0	tp	FRENKI
ENSG00000107020	Q9HBL7	tp	FRENKI
ENSG00000108439	Q9NVS9	tp	FRENKI
ENSG00000108828	Q99536	tp	FRENKI
ENSG00000109971	P11142	tp	FRENKI
ENSG00000112290	Q92558	tp	FRENKI
ENSG00000112695	P14406	tp	FRENKI
ENSG00000114026	O15527	tp	FRENKI
ENSG00000117450	Q06830	tp	FRENKI
ENSG00000117906	Q14257	tp	FRENKI
ENSG00000118260	P16220	tp	FRENKI
ENSG00000118520	P05089	tp	FRENKI
ENSG00000120832	Q49AM1	tp	FRENKI
ENSG00000123131	Q13162	tp	FRENKI
ENSG00000127022	P27824	tp	FRENKI
ENSG00000128309	P25325	tp	FRENKI
ENSG00000130347	Q8WWV3	tp	FRENKI
ENSG00000130707	P00966	tp	FRENKI
ENSG00000132199	Q7L5Y1	tp	FRENKI
ENSG00000135070	Q9BUE6	tp	FRENKI
ENSG00000135537	Q8WV93	tp	FRENKI
ENSG00000136682	Q8IUF1	tp	FRENKI
ENSG00000136783	Q9UFN0	tp	FRENKI
ENSG00000137038	Q96GE9	tp	FRENKI
ENSG00000138413	O75874	tp	FRENKI
ENSG00000140090	Q8NFF2	tp	FRENKI
ENSG00000140939	O60936	tp	FRENKI
ENSG00000141338	O94911	tp	FRENKI
ENSG00000141504	Q96F10	tp	FRENKI
ENSG00000143199	Q96PN6	tp	FRENKI
ENSG00000144199	Q6P2I3	tp	FRENKI
ENSG00000144369	Q6P995	tp	FRENKI
ENSG00000144559	Q96BW9	tp	FRENKI
ENSG00000145354	Q8N5K1	tp	FRENKI
ENSG00000146350	Q96NH3	tp	FRENKI
ENSG00000147162	O15294	tp	FRENKI
ENSG00000147454	Q9NYZ2	tp	FRENKI
ENSG00000148225	Q8NA23	tp	FRENKI
ENSG00000148950	Q96LU5	tp	FRENKI
ENSG00000151148	Q7Z3V4	tp	FRENKI
ENSG00000153820	Q2M3C7	tp	FRENKI
ENSG00000156510	Q2TB90	tp	FRENKI
ENSG00000156885	Q02221	tp	FRENKI
ENSG00000158882	Q969M1	tp	FRENKI
ENSG00000160221	P30042	tp	FRENKI
ENSG00000160691	P29353	tp	FRENKI
ENSG00000162241	Q8N413	tp	FRENKI
ENSG00000162461	Q6PIV7	tp	FRENKI
ENSG00000162670	Q76B58	tp	FRENKI
ENSG00000162813	O95861	tp	FRENKI
ENSG00000162927	Q3MIT2	tp	FRENKI
ENSG00000164898	Q96HJ9	tp	FRENKI
ENSG00000165028	Q9BS92	tp	FRENKI
ENSG00000165152	Q9BRR3	tp	FRENKI
ENSG00000166340	O14773	tp	FRENKI
ENSG00000167065	Q8NEJ0	tp	FRENKI
ENSG00000167815	P32119	tp	FRENKI
ENSG00000168209	Q9NX09	tp	FRENKI
ENSG00000168237	Q8IVS8	tp	FRENKI
ENSG00000168393	P23919	tp	FRENKI
ENSG00000169313	Q9H244	tp	FRENKI
ENSG00000169519	A6NJ78	tp	FRENKI
ENSG00000170899	O15217	tp	FRENKI
ENSG00000171433	A6NK44	tp	FRENKI
ENSG00000172992	Q8WVC6	tp	FRENKI
ENSG00000173171	Q13505	tp	FRENKI
ENSG00000173992	O14618	tp	FRENKI
ENSG00000174021	P63218	tp	FRENKI
ENSG00000181915	Q96SZ5	tp	FRENKI
ENSG00000182718	P07355	tp	FRENKI
ENSG00000182899	P18077	tp	FRENKI
ENSG00000183747	Q08AH3	tp	FRENKI
ENSG00000184227	Q86TX2	tp	FRENKI
ENSG00000184867	Q7L311	tp	FRENKI
ENSG00000186205	Q5VT66	tp	FRENKI
ENSG00000188130	P53778	tp	FRENKI
ENSG00000188277	A8K5M9	tp	FRENKI
ENSG00000188554	Q14596	tp	FRENKI
ENSG00000188582	Q6ZVX9	tp	FRENKI
ENSG00000196290	Q9GZT8	tp	FRENKI
ENSG00000197119	Q8N8R3	tp	FRENKI
ENSG00000197959	Q9UQ16	tp	FRENKI
ENSG00000198682	O95340	tp	FRENKI
ENSG00000198689	Q92581	tp	FRENKI
ENSG00000198742	Q9HCE7	tp	FRENKI
ENSG00000198814	P32189	tp	FRENKI
ENSG00000203724	Q5VUE5	tp	FRENKI
ENSG00000205002	Q4LEZ3	tp	FRENKI
ENSG00000213221	Q5SXM8	tp	FRENKI
ENSG00000229833	P0DJ07	tp	FRENKI
ENSG00000240230	Q49B96	tp	FRENKI
ENSG00000240857	Q9HBH5	tp	FRENKI
ENSG00000258947	Q13509	tp	FRENKI
ENSG00000278259	Q96H55	tp	FRENKI
ENSG00000002549	P28838	fn	FRENKI
ENSG00000004468	P28907	fn	FRENKI
ENSG00000004478	Q02790	fn	FRENKI
ENSG00000005187	Q53FZ2	fn	FRENKI
